2025-03-30 00:00:53 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('105', 'tested',NOW(), '7') 
2025-03-30 00:01:31 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('106', 'tested',NOW(), '7') 
2025-03-30 00:02:15 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('107', 'tested',NOW(), '7') 
2025-03-30 00:02:32 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('108', 'tested',NOW(), '7') 
2025-03-30 00:04:24 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('109', 'tested',NOW(), '7') 
2025-03-30 00:07:01 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('110', 'tested',NOW(), '7') 
2025-03-30 00:08:09 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('111', 'tested',NOW(), '7') 
2025-03-30 00:08:30 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('112', 'tested',NOW(), '7') 
2025-03-30 00:09:14 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('113', 'tested',NOW(), '7') 
2025-03-30 00:09:57 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('114', 'tested',NOW(), '7') 
2025-03-30 00:10:31 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('115', 'tested',NOW(), '7') 
2025-03-30 00:33:04 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('116', 'tested',NOW(), '7') 
2025-03-30 00:33:34 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('117', 'tested',NOW(), '7') 
2025-03-30 00:35:01 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('118', 'tested',NOW(), '7') 
2025-03-30 00:35:09 - comments save  INSERT INTO proposal_comments (proposal_id, comment,created_at, user_id) VALUES ('119', 'tested',NOW(), '7') 
